City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Sedhiou,SN,82.09,overcast clouds,12.7081,-15.5569,Auberge Cheznous
18,Port Keats,AU,80.96,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
29,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Koforidua,GH,82.89,few clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
38,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
45,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
55,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
57,Arraial Do Cabo,BR,84.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Butaritari,KI,82.09,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
62,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
63,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
64,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Sao Jose Da Coroa Grande,BR,81.34,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
70,Barra Patuca,HN,81.79,clear sky,15.8,-84.2833,
73,Hilo,US,80.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
75,Bowen,AU,82.26,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
77,Black River,JM,83.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
78,Itarema,BR,82.9,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
80,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
92,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
94,Mackay,AU,81.68,few clouds,-21.15,149.2,International Lodge Motel
95,Mahibadhoo,MV,81.39,overcast clouds,3.7833,72.9667,Omadhoo Inn
105,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
106,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
113,Kavieng,PG,82.02,light rain,-2.5744,150.7967,Nusa Island Retreat
115,Miramar,US,81.0,few clouds,25.9873,-80.2323,Casa Miramar
132,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
133,Sincelejo,CO,86.95,scattered clouds,9.3047,-75.3978,Hotel Arawak Plaza
136,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
146,Ugoofaaru,MV,80.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
151,Marau,BR,80.76,few clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
155,Faanui,PF,81.5,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Gizo,SB,80.55,light rain,-8.103,156.8419,Imagination Island
163,Bubaque,GW,80.02,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
166,Poum,NC,81.59,overcast clouds,-20.2333,164.0167,Gîte kajeon
168,Puerto Narino,CO,82.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
177,Inirida,CO,89.56,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
210,Buala,SB,79.75,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
213,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
216,Diego De Almagro,CL,82.38,clear sky,-26.3667,-70.05,hotel luna del desierto
217,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
221,Caravelas,BR,80.53,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
233,Kulhudhuffushi,MV,80.55,scattered clouds,6.6221,73.07,Haajy Guest House 1
234,Poya,NC,79.45,broken clouds,-21.35,165.15,
237,Yambio,SS,79.47,overcast clouds,4.5721,28.3955,Naivasha Hotel
240,Pedernales,DO,83.48,few clouds,18.0384,-71.744,Hotel Costa Marina
242,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
246,La Palma,US,80.94,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
247,Axim,GH,80.76,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
