City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Port Alfred,-33.5906,26.891,overcast clouds,69.8,88,98,18.68,ZA
1,Clyde River,70.4692,-68.5914,overcast clouds,-17.86,85,94,5.35,CA
2,Concarneau,47.875,-3.9225,broken clouds,49.05,83,71,11.18,FR
3,Punta Arenas,-53.15,-70.9167,few clouds,62.71,34,20,32.21,CL
4,Ushuaia,-54.8,-68.3,scattered clouds,64.02,62,40,32.21,AR
5,Forio,40.7342,13.8646,broken clouds,53.46,77,60,1.99,IT
6,Saint-Philippe,-21.3585,55.7679,overcast clouds,76.59,76,100,3.44,RE
7,Cape Town,-33.9258,18.4232,clear sky,70.21,64,0,5.99,ZA
8,Gornyy,55.1153,83.9059,broken clouds,-5.49,100,68,3.15,RU
9,Sedhiou,12.7081,-15.5569,overcast clouds,82.09,15,97,6.51,SN
10,Barcelos,41.5388,-8.6151,scattered clouds,50.85,92,31,2.17,PT
11,Mataura,-46.1927,168.8643,broken clouds,52.48,67,72,5.41,NZ
12,Fortuna,40.5982,-124.1573,broken clouds,59.92,92,75,1.99,US
13,Albany,42.6001,-73.9662,overcast clouds,32.29,66,100,7.18,US
14,Krasnooktyabrskiy,44.9328,38.3712,few clouds,53.94,72,14,13.89,RU
15,Eganville,45.5334,-77.0994,overcast clouds,10.02,72,100,7.72,CA
16,Bengkulu,-3.8004,102.2655,overcast clouds,75.61,88,95,4.34,ID
17,Jamestown,42.097,-79.2353,few clouds,26.1,67,20,8.99,US
18,Port Keats,-14.25,129.55,overcast clouds,80.96,80,100,2.66,AU
19,Rock Sound,24.9,-76.2,clear sky,77.45,72,1,9.46,BS
20,Senges,-24.1128,-49.4636,scattered clouds,73.45,84,30,14.65,BR
21,Gawler,-34.6,138.7333,overcast clouds,63.91,96,99,10.0,AU
22,Halifax,44.6453,-63.5724,clear sky,44.22,74,10,3.0,CA
23,Babati,-4.2167,35.75,few clouds,64.89,66,18,1.81,TZ
24,Vestmannaeyjar,63.4427,-20.2734,overcast clouds,41.34,61,100,27.42,IS
25,Nyurba,63.2842,118.3319,overcast clouds,-7.35,98,100,4.65,RU
26,Bhopal,23.2667,77.4,scattered clouds,58.19,94,36,7.9,IN
27,Fairbanks,64.8378,-147.7164,overcast clouds,-6.9,74,100,0.0,US
28,College,64.8569,-147.8028,broken clouds,-7.65,74,75,0.0,US
29,Puerto Ayora,-0.7393,-90.3518,overcast clouds,80.56,72,94,9.22,EC
