City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-12-28 17:34:21,-9.8,-139.0333,78.37,75,7,17.94
1,Lubango,AO,2021-12-28 17:34:21,-14.9172,13.4925,62.37,53,69,7.29
2,Palu,ID,2021-12-28 17:34:21,-0.8917,119.8707,73.94,97,90,1.95
3,Avarua,CK,2021-12-28 17:34:22,-21.2078,-159.775,75.25,78,20,4.61
4,College,US,2021-12-28 17:34:22,64.8569,-147.8028,19.35,89,90,0.0
5,Punta Arenas,CL,2021-12-28 17:33:54,-53.15,-70.9167,59.02,41,75,18.41
6,Buraydah,SA,2021-12-28 17:34:22,26.326,43.975,55.85,66,100,2.19
7,Albany,US,2021-12-28 17:34:23,42.6001,-73.9662,43.81,78,34,10.56
8,Rikitea,PF,2021-12-28 17:34:23,-23.1203,-134.9692,77.65,76,72,13.71
9,Vaitape,PF,2021-12-28 17:34:23,-16.5167,-151.75,79.92,74,100,5.59
10,Cherskiy,RU,2021-12-28 17:34:24,68.75,161.3,-43.73,98,100,0.29
11,Hithadhoo,MV,2021-12-28 17:34:24,-0.6,73.0833,80.92,78,64,11.77
12,Turukhansk,RU,2021-12-28 17:34:24,65.8167,87.9833,6.53,94,100,14.94
13,Roma,US,2021-12-28 17:34:25,43.2128,-75.4557,42.12,73,90,14.97
14,Fort Myers Beach,US,2021-12-28 17:34:25,26.452,-81.9481,81.0,61,75,1.99
15,Kaitangata,NZ,2021-12-28 17:34:26,-46.2817,169.8464,49.28,92,97,5.37
16,Mataura,NZ,2021-12-28 17:34:26,-46.1927,168.8643,50.49,97,100,1.79
17,Vaini,TO,2021-12-28 17:34:26,-21.2,-175.2,73.56,100,75,1.14
18,Port Alfred,ZA,2021-12-28 17:34:27,-33.5906,26.891,67.33,81,8,15.7
19,Paracuru,BR,2021-12-28 17:32:37,-3.41,-39.0306,87.82,62,64,16.35
20,Yellowknife,CA,2021-12-28 17:33:59,62.456,-114.3525,-33.72,74,20,5.75
21,Busselton,AU,2021-12-28 17:34:27,-33.65,115.3333,72.09,51,22,5.37
22,Oranjemund,NA,2021-12-28 17:34:28,-28.55,16.4333,66.04,82,28,10.98
23,Bluff,NZ,2021-12-28 17:34:28,-46.6,168.3333,50.81,75,99,8.81
24,Paita,PE,2021-12-28 17:34:29,-5.0892,-81.1144,79.36,71,100,11.95
25,Butaritari,KI,2021-12-28 17:34:29,3.0707,172.7902,81.03,77,71,8.03
26,Maniitsoq,GL,2021-12-28 17:34:29,65.4167,-52.9,15.01,57,20,6.17
27,Nanortalik,GL,2021-12-28 17:34:30,60.1432,-45.2371,23.92,66,2,5.08
28,Puerto Madryn,AR,2021-12-28 17:34:30,-42.7692,-65.0385,77.77,32,60,13.15
29,East London,ZA,2021-12-28 17:31:55,-33.0153,27.9116,68.94,73,0,14.97
30,Ushuaia,AR,2021-12-28 17:30:53,-54.8,-68.3,51.46,54,40,16.11
31,Chuy,UY,2021-12-28 17:34:31,-33.6971,-53.4616,81.28,35,2,11.99
32,Katsuura,JP,2021-12-28 17:34:31,35.1333,140.3,39.31,49,63,6.67
33,Nikolskoye,RU,2021-12-28 17:34:31,59.7035,30.7861,22.89,96,100,4.99
34,Victoria,HK,2021-12-28 17:34:32,22.2855,114.1577,64.33,79,53,4.0
35,Les Escoumins,CA,2021-12-28 17:34:32,48.1111,-69.0236,16.95,91,100,3.78
36,Talara,PE,2021-12-28 17:34:32,-4.5772,-81.2719,79.56,57,40,19.57
37,Balikpapan,ID,2021-12-28 17:34:33,-1.2675,116.8289,74.39,100,40,5.75
38,Salalah,OM,2021-12-28 17:34:33,17.0151,54.0924,75.29,78,20,2.3
39,Abomsa,ET,2021-12-28 17:34:33,9.9833,39.9833,72.25,41,12,3.69
40,Jamestown,US,2021-12-28 17:34:34,42.097,-79.2353,39.09,60,90,8.01
41,Tuktoyaktuk,CA,2021-12-28 17:34:34,69.4541,-133.0374,-16.6,76,1,17.27
42,Thunder Bay,CA,2021-12-28 17:34:35,48.4001,-89.3168,19.56,81,90,3.44
43,Asau,RO,2021-12-28 17:34:35,46.4333,26.4,25.95,92,92,0.09
44,Cidreira,BR,2021-12-28 17:34:35,-30.1811,-50.2056,75.54,65,2,11.92
45,Sao Simao,BR,2021-12-28 17:35:36,-21.4792,-47.5508,77.45,56,48,10.33
46,Saskylakh,RU,2021-12-28 17:35:36,71.9167,114.0833,-31.85,100,49,2.68
47,Vostok,RU,2021-12-28 17:35:37,46.4856,135.8833,-7.65,92,97,3.44
48,Ostrov,RU,2021-12-28 17:35:37,57.3439,28.3537,22.73,89,100,7.45
49,Bengkulu,ID,2021-12-28 17:35:37,-3.8004,102.2655,76.5,89,100,4.59
50,Champerico,GT,2021-12-28 17:35:38,14.3,-91.9167,91.35,59,4,8.14
51,Alta Floresta,BR,2021-12-28 17:35:38,-9.8756,-56.0861,84.02,70,75,8.05
52,Mar Del Plata,AR,2021-12-28 17:32:56,-38.0023,-57.5575,82.42,85,0,10.0
53,Krasnogorskoye,RU,2021-12-28 17:35:38,52.2953,86.1979,9.32,97,100,3.11
54,Arraial Do Cabo,BR,2021-12-28 17:35:39,-22.9661,-42.0278,87.76,70,40,8.05
55,Zhireken,RU,2021-12-28 17:35:39,52.8249,117.3076,-13.92,97,79,2.55
56,Souillac,MU,2021-12-28 17:35:40,-20.5167,57.5167,78.37,88,40,16.11
57,Severo-Kurilsk,RU,2021-12-28 17:35:40,50.6789,156.125,29.25,79,100,35.08
58,Nyrob,RU,2021-12-28 17:35:40,60.733,56.7202,4.24,96,100,7.11
59,New Norfolk,AU,2021-12-28 17:35:41,-42.7826,147.0587,51.71,77,23,3.02
60,Qaqortoq,GL,2021-12-28 17:35:41,60.7167,-46.0333,19.9,60,0,5.53
61,Carnarvon,AU,2021-12-28 17:35:42,-24.8667,113.6333,80.67,61,95,13.8
62,Swan Hill,AU,2021-12-28 17:35:42,-35.3378,143.5544,64.45,45,14,7.47
63,Hilo,US,2021-12-28 17:31:15,19.7297,-155.09,68.61,40,40,4.61
64,Bowen,AU,2021-12-28 17:35:42,-20.0167,148.2333,73.62,87,100,5.77
65,Lobito,AO,2021-12-28 17:35:43,-12.3481,13.5456,76.48,79,62,3.02
66,Kidal,ML,2021-12-28 17:35:43,18.4411,1.4078,73.29,13,97,10.07
67,Xuddur,SO,2021-12-28 17:35:43,4.1213,43.8894,78.1,24,47,11.32
68,Ondangwa,NA,2021-12-28 17:35:44,-17.9167,15.95,87.8,17,46,9.15
69,Cabo San Lucas,MX,2021-12-28 17:33:31,22.8909,-109.9124,78.62,46,1,6.91
70,Tura,IN,2021-12-28 17:35:44,25.5198,90.2201,58.84,62,95,3.76
71,Korla,CN,2021-12-28 17:35:44,41.7597,86.1469,17.87,73,63,1.25
72,Hailar,CN,2021-12-28 17:35:45,49.2,119.7,-20.7,100,49,2.8
73,Hobart,AU,2021-12-28 17:35:45,-42.8794,147.3294,52.05,89,34,5.75
